Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1039.1,26046.2,23899.3,-2146.9,-8.24,-0.9
HDFCBANK,6,716.85,1002.1,4301.1,6012.6,1711.5,39.79,-0.55
IRFC,27,146.85,117.05,3964.95,3160.35,-804.6,-20.29,-0.47
JPASSOCIAT,30,16.25,3.3,487.61,99,-388.61,-79.7,4.76
JSWENERGY,1,728.7,491.8,728.7,491.8,-236.9,-32.51,0.64
NHPC,13,89.95,77.3,1169.35,1004.9,-164.45,-14.06,0.73
TATASTEEL,30,164.85,168.63,4945.5,5058.9,113.4,2.29,0.4
TMCV,10,239.54,359.05,2395.44,3590.5,1195.07,49.89,1.93
TMPV,10,529.46,363.75,5294.57,3637.5,-1657.06,-31.3,1.93
UJJIVANSFB,6,44.82,55.66,268.92,333.96,65.04,24.19,2.2
VIKASLIFE,159,4.94,1.88,785.36,298.92,-486.44,-61.94,-0.53